 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
08:30 25.01.2019 	 0,33 	 0,21 	 4 	 8 	 100 	 1007 	 2 	  
08:20 25.01.2019 	 0,28 	 0,16 	 4 	 13 	 59 	 1007 	 2,1 	  
08:10 25.01.2019 	 0,24 	 0,13 	 4 	 16 	 46 	 1006 	 2 	  
08:00 25.01.2019 	 0,2 	 0,07 	 2 	 5 	 75 	 1006 	 1,4 	  
07:50 25.01.2019 	 0,17 	 0,04 	 2 	 6 	 88 	 1006 	 1,4 	  
07:40 25.01.2019 	 0,15 	 0 	 2 	 4 	 61 	 1006 	 1,3 	  
07:30 25.01.2019 	 0,13 	 -0,04 	 3 	 7 	 59 	 1006 	 1,5 	  
07:20 25.01.2019 	 0,11 	 -0,04 	 4 	 8 	 68 	 1005 	 1,4 	  
07:10 25.01.2019 	 0,1 	 -0,05 	 8 	 13 	 63 	 1005 	 1,2 	  
07:00 25.01.2019 	 0,1 	 -0,07 	 9 	 14 	 63 	 1004 	 1,6 	  
06:50 25.01.2019 	 0,11 	 -0,06 	 10 	 15 	 67 	 1004 	 1,7 	  
06:40 25.01.2019 	 0,12 	 -0,05 	 8 	 12 	 71 	 1004 	 1,6 	  
06:30 25.01.2019 	 0,13 	 -0,04 	 7 	 13 	 78 	 1004 	 1,5 	  
06:20 25.01.2019 	 0,16 	 -0,01 	 5 	 7 	 91 	 1004 	 0,7 	  
06:10 25.01.2019 	 0,18 	 0,02 	 4 	 8 	 85 	 1004 	 0,7 	  
06:00 25.01.2019 	 0,22 	 0,07 	 2 	 4 	 101 	 1003 	 0,8 	  
05:50 25.01.2019 	 0,25 	 0,12 	 1 	 2 	 253 	 1003 	 0,5 	  
05:40 25.01.2019 	 0,3 	 0,17 	 2 	 4 	 343 	 1003 	 0,1 	  
05:30 25.01.2019 	 0,34 	 0,23 	 1 	 2 	 232 	 1003 	 0,3 	  
05:20 25.01.2019 	 0,4 	 0,29 	 1 	 3 	 247 	 1003 	 0 	  
05:10 25.01.2019 	 0,45 	 0,34 	 3 	 4 	 221 	 1003 	 -0,3 	  
05:00 25.01.2019 	 0,51 	 0,4 	 3 	 4 	 236 	 1002 	 -0,8 	  
04:50 25.01.2019 	 0,57 	 0,46 	 2 	 4 	 264 	 1002 	 -1,3 	  
04:40 25.01.2019 	 0,63 	 0,53 	 1 	 3 	 142 	 1002 	 -2,4 	  
04:30 25.01.2019 	 0,69 	 0,59 	 1 	 2 	 256 	 1002 	 -0,9 	  
04:20 25.01.2019 	 0,76 	 0,66 	 2 	 5 	 240 	 1002 	 -1,2 	  
04:10 25.01.2019 	 0,82 	 0,71 	 3 	 4 	 237 	 1002 	 -1,7 	  
