 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
16:00 17.01.2019 	 3,13 	 2,88 	 5 	 8 	 58 	 1006 	 0,2 	  
15:50 17.01.2019 	 3,16 	 2,87 	 5 	 8 	 60 	 1006 	 0,1 	  
15:40 17.01.2019 	 3,18 	 2,93 	 5 	 8 	 63 	 1006 	 0,1 	  
15:30 17.01.2019 	 3,2 	 2,93 	 5 	 7 	 64 	 1006 	 0,1 	  
15:20 17.01.2019 	 3,21 	 2,97 	 5 	 8 	 63 	 1006 	 0,1 	  
15:10 17.01.2019 	 3,21 	 2,97 	 4 	 6 	 65 	 1006 	 0,1 	  
15:00 17.01.2019 	 3,21 	 2,94 	 4 	 7 	 71 	 1006 	 0,1 	  
14:50 17.01.2019 	 3,2 	 2,96 	 4 	 5 	 75 	 1006 	 0,2 	  
14:40 17.01.2019 	 3,18 	 2,91 	 3 	 5 	 79 	 1007 	 0,3 	  
14:30 17.01.2019 	 3,16 	 2,9 	 3 	 5 	 82 	 1007 	 0,6 	  
14:20 17.01.2019 	 3,12 	 2,91 	 3 	 5 	 80 	 1007 	 0,6 	  
14:10 17.01.2019 	 3,09 	 2,85 	 4 	 5 	 82 	 1007 	 0,6 	  
14:00 17.01.2019 	 3,04 	 2,82 	 3 	 5 	 83 	 1007 	 0,6 	  
13:50 17.01.2019 	 2,99 	 2,77 	 3 	 4 	 85 	 1007 	 0,6 	  
13:40 17.01.2019 	 2,93 	 2,68 	 2 	 4 	 92 	 1007 	 0,5 	  
13:30 17.01.2019 	 2,87 	 2,66 	 2 	 5 	 111 	 1007 	 0,5 	  
13:20 17.01.2019 	 2,81 	 2,58 	 2 	 5 	 104 	 1007 	 0,5 	  
13:10 17.01.2019 	 2,74 	 2,56 	 2 	 5 	 107 	 1007 	 0,5 	  
13:00 17.01.2019 	 2,67 	 2,45 	 3 	 5 	 112 	 1007 	 0,6 	  
12:50 17.01.2019 	 2,59 	 2,39 	 4 	 6 	 117 	 1007 	 1 	  
12:40 17.01.2019 	 2,51 	 2,32 	 3 	 5 	 103 	 1007 	 1,3 	  
12:30 17.01.2019 	 2,43 	 2,29 	 2 	 4 	 87 	 1007 	 1,3 	  
12:20 17.01.2019 	 2,35 	 2,18 	 2 	 4 	 83 	 1007 	 1,1 	  
12:10 17.01.2019 	 2,27 	 2,14 	 3 	 4 	 71 	 1007 	 0,8 	  
12:00 17.01.2019 	 2,19 	 2,06 	 3 	 5 	 67 	 1007 	 0,9 	  
11:50 17.01.2019 	 2,11 	 1,96 	 3 	 5 	 79 	 1008 	 0,7 	  
11:40 17.01.2019 	 2,03 	 1,92 	 4 	 5 	 81 	 1008 	 0,9 	  
11:30 17.01.2019 	 1,95 	 1,85 	 3 	 4 	 75 	 1008 	 0,4 	  
11:20 17.01.2019 	 1,88 	 1,78 	 3 	 4 	 78 	 1008 	 0,9 	  
11:10 17.01.2019 	 1,81 	 1,73 	 3 	 4 	 78 	 1008 	 0,6 	  
11:00 17.01.2019 	 1,74 	 1,65 	 3 	 4 	 78 	 1008 	 0,4 	  
10:50 17.01.2019 	 1,67 	 1,6 	 3 	 4 	 79 	 1008 	 0,4 	  
10:40 17.01.2019 	 1,61 	 1,55 	 3 	 4 	 84 	 1008 	 0,4 	  
10:30 17.01.2019 	 1,56 	 1,45 	 3 	 4 	 85 	 1008 	 0,4 	  
10:20 17.01.2019 	 1,51 	 1,41 	 3 	 4 	 83 	 1008 	 -0,1 	  
10:10 17.01.2019 	 1,46 	 1,42 	 2 	 3 	 94 	 1008 	 0 	  
10:00 17.01.2019 	 1,43 	 1,33 	 2 	 3 	 99 	 1009 	 0,1 	  
09:50 17.01.2019 	 1,39 	 1,32 	 2 	 4 	 101 	 1009 	 0 	  
09:40 17.01.2019 	 1,37 	 1,29 	 2 	 3 	 99 	 1009 	 -0,3 	  
09:30 17.01.2019 	 1,35 	 1,25 	 2 	 3 	 100 	 1009 	 -0,4 	  
09:20 17.01.2019 	 1,34 	 1,25 	 2 	 4 	 106 	 1009 	 -0,2 	  
09:10 17.01.2019 	 1,33 	 1,24 	 3 	 5 	 115 	 1009 	 -0,1 	  
09:00 17.01.2019 	 1,33 	 1,24 	 4 	 5 	 123 	 1009 	 -0,3 	  
08:50 17.01.2019 	 1,34 	 1,25 	 4 	 5 	 126 	 1009 	 -0,4 	  
08:40 17.01.2019 	 1,36 	 1,24 	 4 	 5 	 124 	 1009 	 -0,4 	  
08:30 17.01.2019 	 1,38 	 1,27 	 4 	 5 	 124 	 1009 	 -0,5 	  
08:20 17.01.2019 	 1,41 	 1,29 	 4 	 5 	 133 	 1009 	 -0,7 	  
08:10 17.01.2019 	 1,44 	 1,32 	 5 	 6 	 137 	 1009 	 -0,4 	  
08:00 17.01.2019 	 1,48 	 1,33 	 4 	 6 	 140 	 1009 	 -0,4 	  
07:50 17.01.2019 	 1,53 	 1,41 	 4 	 6 	 133 	 1010 	 -0,6 	  
07:40 17.01.2019 	 1,58 	 1,43 	 4 	 6 	 138 	 1010 	 -0,6 	  
07:30 17.01.2019 	 1,64 	 1,49 	 4 	 5 	 126 	 1010 	 -0,6 	  
07:20 17.01.2019 	 1,7 	 1,54 	 4 	 5 	 121 	 1010 	 -0,5 	  
07:10 17.01.2019 	 1,77 	 1,62 	 4 	 6 	 121 	 1010 	 -0,4 	  
07:00 17.01.2019 	 1,84 	 1,7 	 4 	 6 	 117 	 1010 	 -0,3 	  
06:50 17.01.2019 	 1,91 	 1,79 	 4 	 7 	 115 	 1010 	 -0,2 	  
06:40 17.01.2019 	 1,99 	 1,82 	 4 	 7 	 117 	 1010 	 -0,3 	  
06:30 17.01.2019 	 2,06 	 1,9 	 2 	 4 	 104 	 1010 	 -0,6 	  
06:20 17.01.2019 	 2,14 	 1,98 	 3 	 4 	 92 	 1010 	 -0,5 	  
06:10 17.01.2019 	 2,22 	 2,07 	 2 	 4 	 93 	 1010 	 -0,6 	  
06:00 17.01.2019 	 2,3 	 2,11 	 2 	 4 	 92 	 1010 	 -0,5 	  
05:50 17.01.2019 	 2,38 	 2,22 	 2 	 3 	 80 	 1011 	 -0,5 	  
05:40 17.01.2019 	 2,46 	 2,25 	 2 	 3 	 74 	 1011 	 -0,8 	  
05:30 17.01.2019 	 2,53 	 2,32 	 2 	 3 	 68 	 1011 	 -0,8 	  
05:20 17.01.2019 	 2,61 	 2,38 	 2 	 3 	 67 	 1011 	 -0,9 	  
05:10 17.01.2019 	 2,68 	 2,45 	 2 	 3 	 70 	 1011 	 -0,8 	  
05:00 17.01.2019 	 2,75 	 2,54 	 2 	 3 	 77 	 1011 	 -0,9 	  
04:50 17.01.2019 	 2,82 	 2,59 	 2 	 3 	 73 	 1011 	 -1,1 	  
04:40 17.01.2019 	 2,89 	 2,66 	 2 	 3 	 73 	 1011 	 -1 	  
04:30 17.01.2019 	 2,95 	 2,67 	 2 	 2 	 74 	 1011 	 -0,9 	  
04:20 17.01.2019 	 3,01 	 2,73 	 2 	 3 	 81 	 1011 	 -0,7 	  
04:10 17.01.2019 	 3,06 	 2,75 	 2 	 3 	 87 	 1011 	 -0,7 	  
04:00 17.01.2019 	 3,11 	 2,85 	 2 	 3 	 81 	 1011 	 -1,1 	  
03:50 17.01.2019 	 3,15 	 2,84 	 2 	 3 	 68 	 1012 	 -1,5 	  
03:40 17.01.2019 	 3,19 	 2,94 	 2 	 3 	 54 	 1012 	 -1,3 	  
03:30 17.01.2019 	 3,23 	 2,92 	 2 	 3 	 51 	 1012 	 -1,3 	  
03:20 17.01.2019 	 3,25 	 2,98 	 2 	 3 	 42 	 1012 	 -1,5 	  
03:10 17.01.2019 	 3,27 	 2,99 	 2 	 3 	 24 	 1012 	 -1,2 	  
03:00 17.01.2019 	 3,29 	 2,99 	 2 	 2 	 31 	 1012 	 -1,2 	  
02:50 17.01.2019 	 3,29 	 3,01 	 1 	 2 	 60 	 1012 	 -1,4 	  
02:40 17.01.2019 	 3,29 	 2,97 	 2 	 2 	 82 	 1013 	 -1,6 	  
02:30 17.01.2019 	 3,29 	 3 	 2 	 3 	 81 	 1013 	 -1,6 	  
02:20 17.01.2019 	 3,27 	 3,01 	 2 	 3 	 94 	 1013 	 -1,5 	  
02:10 17.01.2019 	 3,25 	 2,98 	 3 	 5 	 99 	 1013 	 -1,4 	  
02:00 17.01.2019 	 3,23 	 2,95 	 2 	 5 	 103 	 1013 	 -1,2 	  
01:50 17.01.2019 	 3,19 	 2,93 	 2 	 3 	 108 	 1013 	 -1 	  
01:40 17.01.2019 	 3,15 	 2,86 	 2 	 3 	 104 	 1013 	 -1 	  
01:30 17.01.2019 	 3,11 	 2,85 	 2 	 3 	 71 	 1013 	 -1,1 	  
01:20 17.01.2019 	 3,06 	 2,82 	 2 	 3 	 58 	 1013 	 -0,7 	  
01:10 17.01.2019 	 3 	 2,77 	 2 	 3 	 52 	 1013 	 -0,5 	  
01:00 17.01.2019 	 2,94 	 2,7 	 2 	 3 	 49 	 1013 	 -0,5 	  
00:50 17.01.2019 	 2,87 	 2,65 	 2 	 3 	 49 	 1013 	 -0,6 	  
00:40 17.01.2019 	 2,8 	 2,57 	 2 	 3 	 47 	 1014 	 -0,6 	  
00:30 17.01.2019 	 2,73 	 2,53 	 2 	 3 	 55 	 1014 	 -1 	  
