 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
09:10 30.01.2019 	 0,78 	 1,04 	 7 	 10 	 342 	 1004 	 -3,5 	  
09:00 30.01.2019 	 0,8 	 1,04 	 7 	 11 	 346 	 1004 	 -3,5 	  
08:50 30.01.2019 	 0,82 	 1,08 	 7 	 10 	 344 	 1003 	 -3,2 	  
08:40 30.01.2019 	 0,84 	 1,09 	 6 	 9 	 357 	 1003 	 -2,9 	  
08:30 30.01.2019 	 0,86 	 1,13 	 6 	 10 	 353 	 1003 	 -2,7 	  
08:20 30.01.2019 	 0,87 	 1,15 	 6 	 9 	 355 	 1003 	 -2,6 	  
08:10 30.01.2019 	 0,89 	 1,17 	 7 	 10 	 344 	 1003 	 -2,5 	  
08:00 30.01.2019 	 0,9 	 1,17 	 8 	 10 	 342 	 1003 	 -2,6 	  
07:50 30.01.2019 	 0,92 	 1,19 	 8 	 10 	 344 	 1003 	 -2,6 	  
07:40 30.01.2019 	 0,92 	 1,23 	 6 	 9 	 356 	 1003 	 -2,5 	  
07:30 30.01.2019 	 0,93 	 1,22 	 5 	 8 	 358 	 1003 	 -2,6 	  
07:20 30.01.2019 	 0,94 	 1,23 	 6 	 10 	 357 	 1003 	 -2,5 	  
07:10 30.01.2019 	 0,95 	 1,26 	 6 	 8 	 358 	 1003 	 -2,7 	  
07:00 30.01.2019 	 0,95 	 1,28 	 4 	 6 	 10 	 1003 	 -3 	  
06:50 30.01.2019 	 0,95 	 1,28 	 4 	 6 	 17 	 1003 	 -3,1 	  
06:40 30.01.2019 	 0,95 	 1,25 	 5 	 8 	 23 	 1003 	 -3,3 	  
06:30 30.01.2019 	 0,95 	 1,25 	 5 	 7 	 31 	 1003 	 -3 	  
06:20 30.01.2019 	 0,95 	 1,23 	 4 	 7 	 37 	 1003 	 -3,7 	  
06:10 30.01.2019 	 0,95 	 1,23 	 5 	 6 	 32 	 1003 	 -4,1 	  
06:00 30.01.2019 	 0,94 	 1,19 	 5 	 8 	 355 	 1004 	 -4,3 	  
05:50 30.01.2019 	 0,93 	 1,22 	 6 	 9 	 345 	 1003 	 -4,1 	  
05:40 30.01.2019 	 0,92 	 1,22 	 3 	 7 	 25 	 1003 	 -3,8 	  
05:30 30.01.2019 	 0,91 	 1,18 	 4 	 6 	 26 	 1003 	 -3,9 	  
05:20 30.01.2019 	 0,9 	 1,15 	 4 	 7 	 20 	 1003 	 -3,9 	  
05:10 30.01.2019 	 0,89 	 1,13 	 4 	 7 	 1 	 1003 	 -3,6 	  
05:00 30.01.2019 	 0,87 	 1,07 	 4 	 6 	 346 	 1003 	 -3,3 	  
04:50 30.01.2019 	 0,85 	 1,07 	 6 	 8 	 335 	 1003 	 -3,1 	  
04:40 30.01.2019 	 0,83 	 1,05 	 6 	 9 	 327 	 1003 	 -3 	  
04:30 30.01.2019 	 0,82 	 1,01 	 6 	 9 	 336 	 1003 	 -2,8 	  
04:20 30.01.2019 	 0,8 	 0,98 	 4 	 9 	 351 	 1003 	 -2,7 	  
04:10 30.01.2019 	 0,77 	 0,96 	 3 	 5 	 2 	 1003 	 -3 	  
04:00 30.01.2019 	 0,75 	 0,92 	 4 	 7 	 354 	 1003 	 -2,8 	  
03:50 30.01.2019 	 0,73 	 0,91 	 6 	 8 	 343 	 1003 	 -2,6 	  
03:40 30.01.2019 	 0,71 	 0,89 	 6 	 8 	 343 	 1003 	 -2,6 	  
03:30 30.01.2019 	 0,69 	 0,86 	 3 	 6 	 2 	 1003 	 -2,6 	  
03:20 30.01.2019 	 0,66 	 0,84 	 4 	 6 	 11 	 1003 	 -2,9 	  
03:10 30.01.2019 	 0,64 	 0,79 	 4 	 6 	 1 	 1003 	 -2,7 	  
03:00 30.01.2019 	 0,62 	 0,77 	 4 	 6 	 2 	 1004 	 -2,6 	  
02:50 30.01.2019 	 0,6 	 0,74 	 5 	 7 	 4 	 1003 	 -2,7 	  
