 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
18:10 21.01.2019 	 3,98 	 4,35 	 3 	 4 	 135 	 -1,9 	  
18:00 21.01.2019 	 3,92 	 4,32 	 3 	 3 	 129 	 -1,8 	  
17:50 21.01.2019 	 3,85 	 4,22 	 3 	 3 	 128 	 -1,7 	  
17:40 21.01.2019 	 3,77 	 4,16 	 3 	 3 	 125 	 -1,6 	  
17:30 21.01.2019 	 3,68 	 4,06 	 2 	 3 	 126 	 -1,7 	  
17:20 21.01.2019 	 3,58 	 3,99 	 0 	 2 	 169 	 -1,9 	  
17:10 21.01.2019 	 3,46 	 3,91 	 3 	 5 	 132 	 -1,9 	  
17:00 21.01.2019 	 3,34 	 3,77 	 4 	 5 	 117 	 -1,3 	  
16:50 21.01.2019 	 3,21 	 3,63 	 4 	 4 	 97 	 -1,1 	  
16:40 21.01.2019 	 3,07 	 3,49 	 4 	 5 	 97 	 -1,6 	  
16:30 21.01.2019 	 2,93 	 3,26 	 3 	 4 	 117 	 -1,5 	  
16:20 21.01.2019 	 2,77 	 3,14 	 4 	 5 	 128 	 -1,4 	  
16:10 21.01.2019 	 2,62 	 2,94 	 3 	 5 	 130 	 -1,4 	  
16:00 21.01.2019 	 2,46 	 2,81 	 3 	 4 	 142 	 -1,3 	  
15:50 21.01.2019 	 2,29 	 2,64 	 2 	 4 	 136 	 -0,8 	  
15:40 21.01.2019 	 2,13 	 2,49 	 3 	 4 	 138 	 -0,8 	  
15:30 21.01.2019 	 1,96 	 2,31 	 4 	 4 	 124 	 -0,5 	  
15:20 21.01.2019 	 1,8 	 2,15 	 5 	 6 	 108 	 -0,5 	  
15:10 21.01.2019 	 1,64 	 2 	 5 	 7 	 96 	 -0,5 	  
15:00 21.01.2019 	 1,48 	 1,89 	 6 	 8 	 85 	 -0,8 	  
14:50 21.01.2019 	 1,32 	 1,77 	 7 	 8 	 88 	 -0,9 	  
14:40 21.01.2019 	 1,18 	 1,61 	 6 	 8 	 85 	 -0,9 	  
14:30 21.01.2019 	 1,04 	 1,51 	 6 	 8 	 87 	 -1,1 	  
14:20 21.01.2019 	 0,9 	 1,36 	 6 	 8 	 90 	 -1,2 	  
14:10 21.01.2019 	 0,78 	 1,25 	 7 	 10 	 87 	 -1,2 	  
14:00 21.01.2019 	 0,67 	 1,14 	 8 	 10 	 85 	 -1,5 	  
13:50 21.01.2019 	 0,57 	 1,04 	 8 	 10 	 83 	 -1,5 	  
13:40 21.01.2019 	 0,48 	 0,9 	 8 	 11 	 84 	 -1,5 	  
13:30 21.01.2019 	 0,4 	 0,84 	 7 	 10 	 80 	 -1,6 	  
13:20 21.01.2019 	 0,34 	 0,8 	 8 	 10 	 76 	 -1,7 	  
13:10 21.01.2019 	 0,29 	 0,77 	 8 	 11 	 76 	 -1,5 	  
13:00 21.01.2019 	 0,26 	 0,71 	 8 	 10 	 75 	 -1,3 	  
12:50 21.01.2019 	 0,24 	 0,68 	 9 	 10 	 75 	 -1,5 	  
12:40 21.01.2019 	 0,24 	 0,67 	 8 	 10 	 74 	 -1,4 	  
12:30 21.01.2019 	 0,26 	 0,65 	 8 	 10 	 77 	 -1,7 	  
12:20 21.01.2019 	 0,29 	 0,65 	 8 	 10 	 76 	 -1,7 	  
12:10 21.01.2019 	 0,33 	 0,69 	 8 	 11 	 78 	 -1,8 	  
12:00 21.01.2019 	 0,39 	 0,8 	 8 	 10 	 74 	 -1,5 	  
11:50 21.01.2019 	 0,47 	 0,86 	 6 	 8 	 80 	 -1,6 	  
11:40 21.01.2019 	 0,55 	 0,95 	 6 	 8 	 79 	 -1,3 	  
11:30 21.01.2019 	 0,66 	 1,05 	 7 	 9 	 76 	 -1,3 	  
11:20 21.01.2019 	 0,77 	 1,15 	 8 	 10 	 70 	 -1,7 	  
11:10 21.01.2019 	 0,89 	 1,23 	 6 	 7 	 73 	 -1,3 	  
11:00 21.01.2019 	 1,03 	 1,4 	 6 	 8 	 76 	 -1,4 	  
10:50 21.01.2019 	 1,17 	 1,52 	 5 	 6 	 72 	 -0,7 	  
10:40 21.01.2019 	 1,32 	 1,66 	 5 	 5 	 71 	 -1,1 	  
10:30 21.01.2019 	 1,48 	 1,85 	 4 	 5 	 73 	 -1,3 	  
10:20 21.01.2019 	 1,64 	 2,03 	 3 	 3 	 70 	 -1,2 	  
10:10 21.01.2019 	 1,81 	 2,2 	 1 	 3 	 89 	 -1,3 	  
10:00 21.01.2019 	 1,97 	 2,34 	 2 	 3 	 152 	 -1,6 	  
09:50 21.01.2019 	 2,15 	 2,5 	 3 	 6 	 202 	 -1,3 	  
09:40 21.01.2019 	 2,32 	 2,7 	 1 	 2 	 117 	 -0,5 	  
09:30 21.01.2019 	 2,49 	 2,88 	 1 	 2 	 135 	 -0,7 	  
09:20 21.01.2019 	 2,66 	 3,07 	 1 	 2 	 271 	 -0,7 	  
09:10 21.01.2019 	 2,82 	 3,26 	 2 	 5 	 265 	 -0,9 	  
09:00 21.01.2019 	 2,98 	 3,39 	 3 	 4 	 113 	 -0,7 	  
08:50 21.01.2019 	 3,14 	 3,51 	 3 	 4 	 92 	 -0,3 	  
08:40 21.01.2019 	 3,29 	 3,65 	 2 	 3 	 106 	 -0,4 	  
08:30 21.01.2019 	 3,43 	 3,77 	 2 	 2 	 139 	 -0,3 	  
08:20 21.01.2019 	 3,57 	 3,93 	 2 	 3 	 120 	 -0,2 	  
08:10 21.01.2019 	 3,7 	 4,09 	 3 	 3 	 129 	 -0,2 	  
08:00 21.01.2019 	 3,82 	 4,18 	 1 	 2 	 151 	 -0,2 	  
07:50 21.01.2019 	 3,93 	 4,27 	 1 	 3 	 186 	 -0,3 	  
07:40 21.01.2019 	 4,03 	 4,34 	 2 	 3 	 174 	 -0,3 	  
07:30 21.01.2019 	 4,12 	 4,43 	 2 	 4 	 148 	 -0,1 	  
07:20 21.01.2019 	 4,19 	 4,5 	 3 	 4 	 132 	 -0,2 	  
07:10 21.01.2019 	 4,26 	 4,6 	 4 	 5 	 127 	 -0,2 	  
07:00 21.01.2019 	 4,31 	 4,66 	 2 	 5 	 130 	 -0,4 	  
06:50 21.01.2019 	 4,35 	 4,71 	 3 	 4 	 108 	 -0,3 	  
06:40 21.01.2019 	 4,38 	 4,7 	 3 	 5 	 94 	 -0,4 	  
06:30 21.01.2019 	 4,39 	 4,72 	 4 	 5 	 97 	 -0,3 	  
06:20 21.01.2019 	 4,39 	 4,7 	 3 	 4 	 114 	 -0,3 	  
06:10 21.01.2019 	 4,38 	 4,76 	 3 	 4 	 99 	 -0,2 	  
06:00 21.01.2019 	 4,36 	 4,74 	 4 	 6 	 90 	 0,3 	  
05:50 21.01.2019 	 4,32 	 4,75 	 5 	 6 	 94 	 0,3 	  
05:40 21.01.2019 	 4,27 	 4,72 	 4 	 5 	 91 	 0,1 	  
05:30 21.01.2019 	 4,2 	 4,62 	 3 	 4 	 124 	 0,2 	  
05:20 21.01.2019 	 4,12 	 4,55 	 3 	 3 	 127 	 0,1 	  
05:10 21.01.2019 	 4,04 	 4,46 	 2 	 3 	 131 	 -0 	  
05:00 21.01.2019 	 3,93 	 4,38 	 2 	 3 	 107 	 -0,1 	  
04:50 21.01.2019 	 3,82 	 4,26 	 2 	 4 	 153 	 -0,3 	  
04:40 21.01.2019 	 3,7 	 4,13 	 3 	 6 	 171 	 -0,1 	  
04:30 21.01.2019 	 3,57 	 3,97 	 3 	 4 	 132 	 0,2 	  
04:20 21.01.2019 	 3,43 	 3,82 	 4 	 4 	 106 	 0,8 	  
04:10 21.01.2019 	 3,28 	 3,65 	 4 	 5 	 101 	 0,7 	  
04:00 21.01.2019 	 3,13 	 3,49 	 4 	 5 	 111 	 0,8 	  
03:50 21.01.2019 	 2,97 	 3,32 	 4 	 5 	 128 	 0,8 	  
03:40 21.01.2019 	 2,8 	 3,15 	 4 	 5 	 123 	 0,6 	  
03:30 21.01.2019 	 2,63 	 2,97 	 4 	 6 	 127 	 0,7 	  
03:20 21.01.2019 	 2,46 	 2,81 	 3 	 5 	 125 	 1,1 	  
03:10 21.01.2019 	 2,29 	 2,61 	 3 	 4 	 97 	 1,3 	  
03:00 21.01.2019 	 2,12 	 2,42 	 2 	 3 	 108 	 1,1 	  
02:50 21.01.2019 	 1,95 	 2,27 	 2 	 2 	 126 	 1,2 	  
02:40 21.01.2019 	 1,78 	 2,11 	 2 	 2 	 137 	 1 	  
02:30 21.01.2019 	 1,61 	 1,99 	 2 	 4 	 140 	 1,2 	  
02:20 21.01.2019 	 1,46 	 1,85 	 3 	 4 	 99 	 1,4 	  
02:10 21.01.2019 	 1,3 	 1,75 	 3 	 4 	 95 	 1,2 	  
02:00 21.01.2019 	 1,16 	 1,64 	 3 	 4 	 112 	 1,2 	  
01:50 21.01.2019 	 1,02 	 1,49 	 3 	 3 	 119 	 1,1 	  
01:40 21.01.2019 	 0,89 	 1,38 	 2 	 3 	 125 	 0,9 	  
01:30 21.01.2019 	 0,78 	 1,29 	 2 	 3 	 138 	 0,9 	  
01:20 21.01.2019 	 0,68 	 1,21 	 2 	 3 	 169 	 0,8 	  
01:10 21.01.2019 	 0,58 	 1,13 	 2 	 4 	 191 	 0,7 	  
01:00 21.01.2019 	 0,51 	 1,01 	 2 	 5 	 205 	 0,7 	  
00:50 21.01.2019 	 0,44 	 0,89 	 3 	 4 	 140 	 0,9 	  
00:40 21.01.2019 	 0,39 	 0,83 	 2 	 4 	 116 	 1,4 	  
00:30 21.01.2019 	 0,36 	 0,75 	 3 	 4 	 107 	 1,4 	  
00:20 21.01.2019 	 0,34 	 0,76 	 3 	 3 	 122 	 1,4 	  
00:10 21.01.2019 	 0,33 	 0,78 	 2 	 4 	 167 	 1,3 	  
00:00 21.01.2019 	 0,34 	 0,8 	 2 	 5 	 197 	 1,4 	  
23:50 20.01.2019 	 0,37 	 0,8 	 2 	 4 	 185 	 1,3 	  
23:40 20.01.2019 	 0,41 	 0,82 	 2 	 4 	 176 	 1,5 	  
23:30 20.01.2019 	 0,46 	 0,86 	 3 	 5 	 200 	 1,6 	  
23:20 20.01.2019 	 0,52 	 0,96 	 4 	 6 	 215 	 1,7 	  
23:10 20.01.2019 	 0,6 	 1,08 	 4 	 6 	 204 	 1,9 	  
23:00 20.01.2019 	 0,69 	 1,15 	 5 	 8 	 206 	 2 	  
22:50 20.01.2019 	 0,8 	 1,27 	 4 	 8 	 200 	 2,4 	  
22:40 20.01.2019 	 0,91 	 1,4 	 4 	 8 	 184 	 2,8 	  
22:30 20.01.2019 	 1,03 	 1,52 	 3 	 5 	 176 	 2,9 	  
22:20 20.01.2019 	 1,16 	 1,63 	 4 	 6 	 205 	 3,3 	  
22:10 20.01.2019 	 1,29 	 1,83 	 3 	 7 	 192 	 3,5 	  
22:00 20.01.2019 	 1,43 	 1,95 	 3 	 5 	 183 	 3,6 	  
21:50 20.01.2019 	 1,58 	 2,12 	 3 	 5 	 112 	 3,6 	  
21:40 20.01.2019 	 1,72 	 2,27 	 4 	 5 	 90 	 3,4 	  
21:30 20.01.2019 	 1,87 	 2,4 	 4 	 7 	 72 	 2,9 	  
21:20 20.01.2019 	 2,02 	 2,53 	 4 	 7 	 69 	 2,1 	  
21:10 20.01.2019 	 2,18 	 2,65 	 8 	 12 	 96 	 2,7 	  
21:00 20.01.2019 	 2,33 	 2,74 	 8 	 15 	 145 	 1,7 	  
20:50 20.01.2019 	 2,47 	 2,88 	 15 	 20 	 117 	 2 	  
20:40 20.01.2019 	 2,62 	 3,01 	 17 	 22 	 114 	 1,7 	  
20:30 20.01.2019 	 2,76 	 3,12 	 16 	 21 	 114 	 1,4 	  
20:20 20.01.2019 	 2,89 	 3,22 	 16 	 20 	 112 	 1,3 	  
20:10 20.01.2019 	 3,02 	 3,33 	 16 	 21 	 110 	 1,2 	  
20:00 20.01.2019 	 3,15 	 3,43 	 18 	 23 	 109 	 0,9 	  
19:50 20.01.2019 	 3,26 	 3,55 	 18 	 23 	 114 	 1,1 	  
19:40 20.01.2019 	 3,37 	 3,62 	 16 	 21 	 117 	 1,2 	  
19:30 20.01.2019 	 3,47 	 3,7 	 17 	 21 	 112 	 1 	  
19:20 20.01.2019 	 3,56 	 3,8 	 17 	 21 	 112 	 0,8 	  
19:10 20.01.2019 	 3,64 	 3,84 	 16 	 21 	 113 	 1 	  
19:00 20.01.2019 	 3,71 	 3,95 	 16 	 21 	 111 	 0,8 	  
18:50 20.01.2019 	 3,77 	 3,98 	 16 	 21 	 110 	 1,1 	  
18:40 20.01.2019 	 3,82 	 3,99 	 14 	 20 	 106 	 1,1 	  
18:30 20.01.2019 	 3,86 	 4,06 	 13 	 16 	 108 	 0,9 	  
18:20 20.01.2019 	 3,88 	 4,05 	 13 	 16 	 111 	 1 	  
18:10 20.01.2019 	 3,9 	 4,07 	 13 	 17 	 107 	 0,8 	  
18:00 20.01.2019 	 3,9 	 4,06 	 11 	 14 	 99 	 1,1 	  
17:50 20.01.2019 	 3,89 	 4,05 	 11 	 13 	 95 	 1 	  
17:40 20.01.2019 	 3,87 	 4,02 	 11 	 13 	 98 	 1,1 	  
17:30 20.01.2019 	 3,84 	 3,99 	 10 	 12 	 100 	 1,5 	  
17:20 20.01.2019 	 3,8 	 3,95 	 8 	 11 	 100 	 1,6 	  
17:10 20.01.2019 	 3,74 	 3,9 	 9 	 10 	 105 	 1,6 	  
17:00 20.01.2019 	 3,68 	 3,86 	 8 	 9 	 106 	 1,5 	  
16:50 20.01.2019 	 3,6 	 3,8 	 7 	 8 	 105 	 1,3 	  
16:40 20.01.2019 	 3,52 	 3,69 	 6 	 8 	 101 	 1 	  
16:30 20.01.2019 	 3,42 	 3,58 	 6 	 8 	 98 	 0,8 	  
16:20 20.01.2019 	 3,31 	 3,46 	 6 	 7 	 99 	 1,1 	  
16:10 20.01.2019 	 3,2 	 3,36 	 6 	 7 	 100 	 0,5 	  
16:00 20.01.2019 	 3,08 	 3,27 	 6 	 7 	 102 	 0,2 	  
15:50 20.01.2019 	 2,95 	 3,11 	 5 	 6 	 116 	 0,1 	  
15:40 20.01.2019 	 2,82 	 3,01 	 5 	 6 	 132 	 0,3 	  
15:30 20.01.2019 	 2,68 	 2,86 	 4 	 5 	 132 	 0,4 	  
15:20 20.01.2019 	 2,54 	 2,72 	 4 	 5 	 136 	 0,2 	  
15:10 20.01.2019 	 2,39 	 2,59 	 4 	 5 	 143 	 0,1 	  
15:00 20.01.2019 	 2,24 	 2,42 	 4 	 6 	 148 	 0,1 	  
14:50 20.01.2019 	 2,09 	 2,24 	 4 	 6 	 190 	 0,6 	  
14:40 20.01.2019 	 1,95 	 2,11 	 5 	 8 	 202 	 0,8 	  
14:30 20.01.2019 	 1,8 	 1,97 	 4 	 10 	 194 	 1 	  
14:20 20.01.2019 	 1,65 	 1,85 	 3 	 5 	 180 	 0,7 	  
14:10 20.01.2019 	 1,51 	 1,68 	 3 	 5 	 177 	 0,6 	  
14:00 20.01.2019 	 1,38 	 1,52 	 3 	 5 	 161 	 0,8 	  
13:50 20.01.2019 	 1,25 	 1,33 	 3 	 4 	 155 	 1 	  
13:40 20.01.2019 	 1,12 	 1,24 	 3 	 5 	 151 	 1,1 	  
13:30 20.01.2019 	 1,01 	 1,2 	 4 	 6 	 199 	 1,1 	  
13:20 20.01.2019 	 0,9 	 1,13 	 5 	 8 	 216 	 0,6 	  
13:10 20.01.2019 	 0,81 	 1,08 	 4 	 10 	 194 	 0,3 	  
13:00 20.01.2019 	 0,72 	 0,96 	 3 	 5 	 184 	 0,3 	  
12:50 20.01.2019 	 0,65 	 0,87 	 4 	 8 	 197 	 0,3 	  
12:40 20.01.2019 	 0,59 	 0,82 	 6 	 9 	 231 	 1,2 	  
12:30 20.01.2019 	 0,54 	 0,78 	 6 	 10 	 240 	 1,3 	  
12:20 20.01.2019 	 0,51 	 0,8 	 10 	 13 	 254 	 1,4 	  
12:10 20.01.2019 	 0,48 	 0,75 	 11 	 15 	 255 	 1,5 	  
12:00 20.01.2019 	 0,48 	 0,73 	 9 	 15 	 259 	 1,5 	  
11:50 20.01.2019 	 0,48 	 0,77 	 8 	 14 	 238 	 1,3 	  
11:40 20.01.2019 	 0,5 	 0,77 	 9 	 18 	 227 	 0,5 	  
11:30 20.01.2019 	 0,53 	 0,8 	 8 	 12 	 233 	 2 	  
11:20 20.01.2019 	 0,58 	 0,77 	 7 	 12 	 235 	 1,9 	  
11:10 20.01.2019 	 0,64 	 0,8 	 7 	 11 	 238 	 2 	  
11:00 20.01.2019 	 0,71 	 0,9 	 6 	 11 	 224 	 1,9 	  
10:50 20.01.2019 	 0,79 	 0,99 	 4 	 6 	 188 	 0,6 	  
10:40 20.01.2019 	 0,89 	 1,07 	 4 	 7 	 185 	 0,4 	  
10:30 20.01.2019 	 0,99 	 1,14 	 5 	 8 	 206 	 0,9 	  
10:20 20.01.2019 	 1,1 	 1,26 	 7 	 12 	 239 	 1,5 	  
10:10 20.01.2019 	 1,22 	 1,37 	 9 	 13 	 249 	 1,7 	  
10:00 20.01.2019 	 1,35 	 1,51 	 9 	 13 	 242 	 1,6 	  
09:50 20.01.2019 	 1,49 	 1,66 	 9 	 13 	 237 	 1,2 	  
09:40 20.01.2019 	 1,63 	 1,82 	 4 	 10 	 212 	 1,1 	  
09:30 20.01.2019 	 1,77 	 2,01 	 3 	 5 	 230 	 0,7 	  
09:20 20.01.2019 	 1,92 	 2,18 	 4 	 6 	 238 	 0,3 	  
09:10 20.01.2019 	 2,07 	 2,34 	 6 	 11 	 221 	 -0,4 	  
09:00 20.01.2019 	 2,22 	 2,4 	 11 	 17 	 226 	 -0,9 	  
08:50 20.01.2019 	 2,37 	 2,55 	 10 	 17 	 238 	 -0 	  
08:40 20.01.2019 	 2,52 	 2,74 	 9 	 13 	 253 	 1,3 	  
08:30 20.01.2019 	 2,67 	 2,89 	 4 	 7 	 188 	 0,7 	  
08:20 20.01.2019 	 2,81 	 3,06 	 3 	 6 	 180 	 0,3 	  
08:10 20.01.2019 	 2,96 	 3,18 	 4 	 6 	 196 	 0,3 	  
08:00 20.01.2019 	 3,09 	 3,24 	 5 	 7 	 203 	 0,4 	  
07:50 20.01.2019 	 3,22 	 3,42 	 6 	 10 	 212 	 0,3 	  
07:40 20.01.2019 	 3,35 	 3,48 	 6 	 9 	 219 	 0,7 	  
07:30 20.01.2019 	 3,47 	 3,61 	 4 	 8 	 205 	 0,3 	  
07:20 20.01.2019 	 3,58 	 3,79 	 4 	 7 	 188 	 -0,4 	  
07:10 20.01.2019 	 3,68 	 3,83 	 4 	 5 	 183 	 -0,6 	  
07:00 20.01.2019 	 3,77 	 3,96 	 3 	 6 	 171 	 -0,7 	  
06:50 20.01.2019 	 3,86 	 4,03 	 3 	 5 	 176 	 -0,7 	  
06:40 20.01.2019 	 3,93 	 4,07 	 4 	 6 	 197 	 -0,4 	  
06:30 20.01.2019 	 4 	 4,09 	 3 	 5 	 180 	 -0,6 	  
06:20 20.01.2019 	 4,05 	 4,18 	 3 	 6 	 173 	 -0,4 	  
06:10 20.01.2019 	 4,09 	 4,25 	 3 	 5 	 162 	 -0,6 	  
06:00 20.01.2019 	 4,12 	 4,31 	 2 	 4 	 174 	 -0,5 	  
05:50 20.01.2019 	 4,14 	 4,31 	 3 	 5 	 177 	 -0,3 	  
05:40 20.01.2019 	 4,15 	 4,33 	 4 	 8 	 213 	 0,3 	  
05:30 20.01.2019 	 4,15 	 4,34 	 3 	 6 	 208 	 0 	  
05:20 20.01.2019 	 4,14 	 4,3 	 3 	 4 	 229 	 -0,3 	  
05:10 20.01.2019 	 4,11 	 4,26 	 2 	 3 	 191 	 -0,5 	  
05:00 20.01.2019 	 4,07 	 4,23 	 3 	 4 	 193 	 -0,3 	  
04:50 20.01.2019 	 4,02 	 4,22 	 4 	 7 	 215 	 0,3 	  
04:40 20.01.2019 	 3,96 	 4,13 	 4 	 8 	 223 	 0,5 	  
04:30 20.01.2019 	 3,89 	 4,09 	 5 	 7 	 233 	 -0,1 	  
04:20 20.01.2019 	 3,81 	 4,01 	 6 	 13 	 214 	 -0,5 	  
04:10 20.01.2019 	 3,71 	 3,91 	 3 	 5 	 172 	 -0,5 	  
04:00 20.01.2019 	 3,61 	 3,82 	 3 	 5 	 183 	 -0,2 	  
03:50 20.01.2019 	 3,5 	 3,64 	 4 	 7 	 215 	 0,1 	  
03:40 20.01.2019 	 3,38 	 3,56 	 7 	 13 	 229 	 0,1 	  
03:30 20.01.2019 	 3,26 	 3,4 	 4 	 8 	 203 	 0,3 	  
03:20 20.01.2019 	 3,12 	 3,32 	 3 	 6 	 192 	 -0,3 	  
03:10 20.01.2019 	 2,98 	 3,19 	 3 	 6 	 197 	 -0,3 	  
03:00 20.01.2019 	 2,84 	 3,05 	 3 	 4 	 175 	 -0,5 	  
02:50 20.01.2019 	 2,69 	 2,89 	 3 	 5 	 192 	 -0,1 	  
02:40 20.01.2019 	 2,54 	 2,77 	 5 	 11 	 214 	 0,2 	  
02:30 20.01.2019 	 2,39 	 2,62 	 6 	 10 	 238 	 0,4 	  
02:20 20.01.2019 	 2,24 	 2,51 	 7 	 13 	 192 	 -0,5 	  
02:10 20.01.2019 	 2,08 	 2,33 	 3 	 6 	 187 	 -0,6 	  
02:00 20.01.2019 	 1,93 	 2,17 	 3 	 5 	 196 	 -0,7 	  
01:50 20.01.2019 	 1,79 	 1,98 	 3 	 5 	 200 	 -0,7 	  
01:40 20.01.2019 	 1,64 	 1,85 	 5 	 9 	 194 	 -0,9 	  
01:30 20.01.2019 	 1,51 	 1,72 	 7 	 12 	 200 	 -0,8 	  
01:20 20.01.2019 	 1,37 	 1,59 	 7 	 11 	 202 	 -0,5 	  
01:10 20.01.2019 	 1,25 	 1,47 	 4 	 10 	 183 	 -0,1 	  
01:00 20.01.2019 	 1,13 	 1,36 	 2 	 3 	 158 	 -0,1 	  
00:50 20.01.2019 	 1,03 	 1,28 	 3 	 5 	 150 	 -0,1 	  
00:40 20.01.2019 	 0,93 	 1,18 	 4 	 5 	 138 	 -0,4 	  
00:30 20.01.2019 	 0,84 	 1,09 	 2 	 3 	 141 	 -0 	  
00:20 20.01.2019 	 0,77 	 1,01 	 2 	 3 	 165 	 0 	  
00:10 20.01.2019 	 0,7 	 0,97 	 2 	 4 	 199 	 -0,1 	  
00:00 20.01.2019 	 0,65 	 0,92 	 5 	 12 	 225 	 -0,3 	  
23:50 19.01.2019 	 0,61 	 0,89 	 4 	 13 	 189 	 -0,4 	  
23:40 19.01.2019 	 0,59 	 0,86 	 3 	 3 	 140 	 0,4 	  
23:30 19.01.2019 	 0,57 	 0,84 	 2 	 3 	 150 	 0,5 	  
23:20 19.01.2019 	 0,57 	 0,84 	 2 	 3 	 173 	 0,5 	  
23:10 19.01.2019 	 0,59 	 0,86 	 4 	 7 	 216 	 0,4 	  
23:00 19.01.2019 	 0,61 	 0,88 	 4 	 8 	 216 	 0,5 	  
22:50 19.01.2019 	 0,65 	 0,9 	 3 	 5 	 210 	 0,8 	  
22:40 19.01.2019 	 0,7 	 0,97 	 6 	 9 	 233 	 0,8 	  
22:30 19.01.2019 	 0,76 	 1,04 	 6 	 9 	 216 	 0,9 	  
22:20 19.01.2019 	 0,83 	 1,07 	 3 	 5 	 166 	 0,5 	  
22:10 19.01.2019 	 0,91 	 1,12 	 3 	 4 	 172 	 0,3 	  
22:00 19.01.2019 	 1 	 1,2 	 4 	 7 	 193 	 0,3 	  
21:50 19.01.2019 	 1,1 	 1,29 	 5 	 9 	 221 	 0,3 	  
21:40 19.01.2019 	 1,21 	 1,35 	 3 	 8 	 179 	 0,9 	  
21:30 19.01.2019 	 1,32 	 1,46 	 2 	 3 	 111 	 1 	  
21:20 19.01.2019 	 1,44 	 1,59 	 3 	 4 	 109 	 1,1 	  
21:10 19.01.2019 	 1,56 	 1,72 	 4 	 5 	 95 	 0,9 	  
21:00 19.01.2019 	 1,68 	 1,9 	 4 	 5 	 96 	 0,7 	  
20:50 19.01.2019 	 1,81 	 2,05 	 4 	 5 	 104 	 1,2 	  
20:40 19.01.2019 	 1,94 	 2,2 	 4 	 4 	 100 	 0,8 	  
20:30 19.01.2019 	 2,07 	 2,34 	 3 	 4 	 112 	 0,8 	  
20:20 19.01.2019 	 2,2 	 2,43 	 2 	 3 	 129 	 0,9 	  
20:10 19.01.2019 	 2,33 	 2,55 	 1 	 2 	 168 	 0,7 	  
20:00 19.01.2019 	 2,46 	 2,71 	 1 	 3 	 223 	 0,6 	  
19:50 19.01.2019 	 2,59 	 2,84 	 4 	 6 	 246 	 0,6 	  
19:40 19.01.2019 	 2,71 	 2,94 	 5 	 8 	 245 	 1,1 	  
19:30 19.01.2019 	 2,82 	 3,07 	 4 	 7 	 219 	 1,1 	  
19:20 19.01.2019 	 2,93 	 3,1 	 3 	 6 	 207 	 0,8 	  
19:10 19.01.2019 	 3,04 	 3,19 	 4 	 8 	 135 	 1,1 	  
19:00 19.01.2019 	 3,14 	 3,29 	 4 	 5 	 91 	 0,7 	  
18:50 19.01.2019 	 3,23 	 3,39 	 3 	 4 	 92 	 0,4 	  
18:40 19.01.2019 	 3,31 	 3,5 	 3 	 4 	 104 	 0,6 	  
18:30 19.01.2019 	 3,39 	 3,58 	 3 	 4 	 119 	 0,8 	  
18:20 19.01.2019 	 3,46 	 3,63 	 3 	 5 	 118 	 0,8 	  
18:10 19.01.2019 	 3,52 	 3,65 	 4 	 5 	 96 	 1 	  
18:00 19.01.2019 	 3,57 	 3,71 	 5 	 6 	 93 	 0,7 	  
17:50 19.01.2019 	 3,61 	 3,74 	 4 	 5 	 112 	 0,7 	  
17:40 19.01.2019 	 3,64 	 3,81 	 3 	 4 	 118 	 0,8 	  
17:30 19.01.2019 	 3,66 	 3,89 	 3 	 4 	 129 	 0,6 	  
17:20 19.01.2019 	 3,67 	 3,92 	 4 	 5 	 139 	 0,5 	  
17:10 19.01.2019 	 3,67 	 3,92 	 4 	 5 	 140 	 0,6 	  
17:00 19.01.2019 	 3,67 	 3,93 	 3 	 4 	 138 	 0,7 	  
16:50 19.01.2019 	 3,65 	 3,89 	 3 	 4 	 143 	 0,8 	  
16:40 19.01.2019 	 3,62 	 3,87 	 4 	 7 	 202 	 1 	  
16:30 19.01.2019 	 3,58 	 3,81 	 5 	 7 	 209 	 1,4 	  
16:20 19.01.2019 	 3,53 	 3,79 	 4 	 8 	 169 	 1,6 	  
16:10 19.01.2019 	 3,47 	 3,76 	 3 	 3 	 133 	 1,6 	  
16:00 19.01.2019 	 3,41 	 3,69 	 3 	 4 	 133 	 1,9 	  
15:50 19.01.2019 	 3,33 	 3,59 	 4 	 5 	 135 	 1,8 	  
15:40 19.01.2019 	 3,25 	 3,51 	 4 	 6 	 127 	 1,8 	  
15:30 19.01.2019 	 3,16 	 3,41 	 3 	 4 	 132 	 1,3 	  
15:20 19.01.2019 	 3,06 	 3,33 	 3 	 4 	 128 	 1,2 	  
15:10 19.01.2019 	 2,95 	 3,22 	 3 	 4 	 130 	 1,1 	  
15:00 19.01.2019 	 2,84 	 3,11 	 4 	 4 	 131 	 1,2 	  
14:50 19.01.2019 	 2,73 	 3,01 	 4 	 5 	 119 	 1,4 	  
14:40 19.01.2019 	 2,61 	 2,89 	 4 	 5 	 115 	 1,3 	  
14:30 19.01.2019 	 2,48 	 2,76 	 4 	 5 	 105 	 1,3 	  
14:20 19.01.2019 	 2,36 	 2,63 	 4 	 5 	 99 	 1,4 	  
14:10 19.01.2019 	 2,23 	 2,49 	 4 	 5 	 88 	 1,2 	  
14:00 19.01.2019 	 2,1 	 2,38 	 4 	 4 	 92 	 1 	  
13:50 19.01.2019 	 1,97 	 2,27 	 4 	 5 	 92 	 0,9 	  
