 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
11:00 30.01.2019 	 2,07 	 -3,75 	 8 	 11 	 96 	 1003 	 -3,1 	 -15 	 15 	  
10:50 30.01.2019 	 2,01 	 -3,75 	 8 	 13 	 97 	 1003 	 -3,1 	 -15 	 15 	  
10:40 30.01.2019 	 1,94 	 -3,75 	 6 	 12 	 105 	 1003 	 -2,8 	 -15 	 15 	  
10:30 30.01.2019 	 1,88 	 -3,75 	 7 	 11 	 104 	 1003 	 -3,2 	 -15 	 15 	  
10:20 30.01.2019 	 1,83 	 -3,75 	 6 	 9 	 98 	 1003 	 -3,4 	 -15 	 15 	  
10:10 30.01.2019 	 1,77 	 -3,75 	 7 	 12 	 91 	 1003 	 -3,4 	 -15 	 15 	  
10:00 30.01.2019 	 1,72 	 -3,75 	 9 	 14 	 84 	 1003 	 -3,1 	 -15 	 15 	  
09:50 30.01.2019 	 1,68 	 -3,75 	 10 	 13 	 69 	 1003 	 -2,8 	 -15 	 15 	  
09:40 30.01.2019 	 1,64 	 -3,75 	 9 	 15 	 87 	 1003 	 -3,6 	 -15 	 15 	  
09:30 30.01.2019 	 1,6 	 -3,75 	 11 	 14 	 69 	 1003 	 -2,9 	 -15 	 15 	  
09:20 30.01.2019 	 1,57 	 -3,75 	 11 	 13 	 75 	 1003 	 -2,7 	 -15 	 15 	  
09:10 30.01.2019 	 1,55 	 -3,75 	 10 	 11 	 86 	 1003 	 -2,8 	 -15 	 15 	  
09:00 30.01.2019 	 1,53 	 -3,75 	 10 	 14 	 82 	 1003 	 -2,7 	 -15 	 15 	  
08:50 30.01.2019 	 1,52 	 -3,75 	 10 	 12 	 87 	 1003 	 -3,2 	 -15 	 15 	  
08:40 30.01.2019 	 1,51 	 -3,75 	 11 	 15 	 74 	 1003 	 -3 	 -15 	 15 	  
08:30 30.01.2019 	 1,51 	 -3,75 	 11 	 14 	 64 	 1003 	 -3,1 	 -15 	 15 	  
08:20 30.01.2019 	 1,52 	 -3,75 	 11 	 14 	 59 	 1003 	 -3,1 	 -15 	 15 	  
08:10 30.01.2019 	 1,53 	 -3,75 	 10 	 14 	 56 	 1003 	 -2,8 	 -15 	 15 	  
08:00 30.01.2019 	 1,55 	 -3,75 	 10 	 15 	 64 	 1003 	 -2,8 	 -15 	 15 	  
07:50 30.01.2019 	 1,57 	 -3,75 	 11 	 15 	 59 	 1003 	 -3,2 	 -15 	 15 	  
07:40 30.01.2019 	 1,6 	 -3,75 	 11 	 14 	 57 	 1003 	 -3,1 	 -15 	 15 	  
07:30 30.01.2019 	 1,64 	 -3,75 	 11 	 14 	 58 	 1002 	 -3,2 	 -15 	 15 	  
07:20 30.01.2019 	 1,68 	 -3,75 	 10 	 13 	 62 	 1002 	 -3,1 	 -15 	 15 	  
07:10 30.01.2019 	 1,72 	 -3,75 	 10 	 14 	 63 	 1002 	 -2,8 	 -15 	 15 	  
07:00 30.01.2019 	 1,77 	 -3,75 	 11 	 15 	 60 	 1002 	 -2,9 	 -15 	 15 	  
06:50 30.01.2019 	 1,83 	 -3,75 	 10 	 14 	 69 	 1002 	 -2,9 	 -15 	 15 	  
06:40 30.01.2019 	 1,88 	 -3,75 	 10 	 15 	 63 	 1002 	 -2,9 	 -15 	 15 	  
06:30 30.01.2019 	 1,95 	 -3,75 	 10 	 15 	 64 	 1002 	 -3,1 	 -15 	 15 	  
06:20 30.01.2019 	 2,01 	 -3,75 	 10 	 14 	 63 	 1002 	 -3 	 -15 	 15 	  
06:10 30.01.2019 	 2,08 	 -3,75 	 9 	 15 	 62 	 1002 	 -3,2 	 -15 	 15 	  
06:00 30.01.2019 	 2,14 	 -3,75 	 11 	 16 	 62 	 1002 	 -3,4 	 -15 	 15 	  
05:50 30.01.2019 	 2,22 	 -3,75 	 11 	 15 	 62 	 1002 	 -3,2 	 -15 	 15 	  
05:40 30.01.2019 	 2,29 	 -3,75 	 11 	 14 	 65 	 1002 	 -2,9 	 -15 	 15 	  
