 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
18:10 30.01.2019 	 1,4 	 1,25 	 9 	 12 	 50 	 1003 	 -5,1 	  
18:00 30.01.2019 	 1,46 	 1,32 	 10 	 17 	 53 	 1002 	 -3,9 	  
17:50 30.01.2019 	 1,5 	 1,38 	 9 	 12 	 51 	 1002 	 -5,4 	  
17:40 30.01.2019 	 1,55 	 1,45 	 10 	 13 	 48 	 1002 	 -5 	  
17:30 30.01.2019 	 1,61 	 1,45 	 9 	 14 	 45 	 1002 	 -5,1 	  
17:20 30.01.2019 	 1,65 	 1,55 	 10 	 13 	 46 	 1002 	 -5,3 	  
17:10 30.01.2019 	 1,7 	 1,56 	 9 	 13 	 48 	 1002 	 -5,6 	  
17:00 30.01.2019 	 1,75 	 1,65 	 9 	 12 	 49 	 1002 	 -5,1 	  
16:50 30.01.2019 	 1,8 	 1,72 	 9 	 13 	 48 	 1002 	 -4,7 	  
16:40 30.01.2019 	 1,85 	 1,77 	 9 	 13 	 47 	 1002 	 -5,1 	  
16:30 30.01.2019 	 1,89 	 1,86 	 9 	 12 	 50 	 1002 	 -5,1 	  
16:20 30.01.2019 	 1,94 	 1,87 	 9 	 13 	 47 	 1002 	 -4,8 	  
16:10 30.01.2019 	 1,98 	 1,91 	 9 	 12 	 50 	 1002 	 -4,3 	  
16:00 30.01.2019 	 2,02 	 1,94 	 9 	 12 	 50 	 1002 	 -4,5 	  
15:50 30.01.2019 	 2,06 	 2,02 	 9 	 13 	 47 	 1002 	 -4,6 	  
15:40 30.01.2019 	 2,09 	 2,05 	 9 	 13 	 46 	 1002 	 -4,6 	  
