 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
20:40 30.01.2019 	 1,1 	 -6999 	 -6999 	 8 	 11 	 10 	 1004 	 -5,6 	  
20:30 30.01.2019 	 1,09 	 -6999 	 -6999 	 7 	 11 	 11 	 1004 	 -5,6 	  
20:20 30.01.2019 	 1,1 	 -6999 	 -6999 	 7 	 11 	 18 	 1004 	 -5,2 	  
20:10 30.01.2019 	 1,1 	 -6999 	 -6999 	 6 	 9 	 23 	 1005 	 -4,1 	  
20:00 30.01.2019 	 1,11 	 -6999 	 -6999 	 6 	 8 	 15 	 1005 	 -4,6 	  
19:50 30.01.2019 	 1,13 	 -6999 	 -6999 	 5 	 8 	 18 	 1005 	 -4,3 	  
19:40 30.01.2019 	 1,15 	 -6999 	 -6999 	 4 	 6 	 23 	 1005 	 -4,6 	  
19:30 30.01.2019 	 1,18 	 -6999 	 -6999 	 4 	 5 	 22 	 1005 	 -4,7 	  
19:20 30.01.2019 	 1,21 	 -6999 	 -6999 	 4 	 7 	 21 	 1005 	 -5,2 	  
19:10 30.01.2019 	 1,24 	 -6999 	 -6999 	 4 	 6 	 18 	 1005 	 -5,3 	  
19:00 30.01.2019 	 1,27 	 -6999 	 -6999 	 4 	 6 	 16 	 1004 	 -5,2 	  
18:50 30.01.2019 	 1,31 	 -6999 	 -6999 	 4 	 5 	 18 	 1004 	 -5 	  
18:40 30.01.2019 	 1,36 	 -6999 	 -6999 	 4 	 6 	 21 	 1004 	 -5,1 	  
18:30 30.01.2019 	 1,4 	 -6999 	 -6999 	 4 	 6 	 20 	 1004 	 -5,1 	  
18:20 30.01.2019 	 1,45 	 -6999 	 -6999 	 4 	 6 	 22 	 1004 	 -5,3 	  
18:10 30.01.2019 	 1,5 	 -6999 	 -6999 	 5 	 7 	 30 	 1004 	 -5,4 	  
18:00 30.01.2019 	 1,55 	 -6999 	 -6999 	 5 	 7 	 33 	 1004 	 -5 	  
17:50 30.01.2019 	 1,6 	 -6999 	 -6999 	 5 	 7 	 33 	 1004 	 -4,7 	  
17:40 30.01.2019 	 1,66 	 -6999 	 -6999 	 4 	 7 	 31 	 1004 	 -4,6 	  
17:30 30.01.2019 	 1,71 	 -6999 	 -6999 	 4 	 6 	 39 	 1004 	 -4,8 	  
17:20 30.01.2019 	 1,76 	 -6999 	 -6999 	 4 	 5 	 34 	 1004 	 -3,9 	  
17:10 30.01.2019 	 1,82 	 -6999 	 -6999 	 4 	 7 	 29 	 1004 	 -4,4 	  
17:00 30.01.2019 	 1,86 	 -6999 	 -6999 	 5 	 7 	 53 	 1004 	 -2,9 	  
16:50 30.01.2019 	 1,92 	 -6999 	 -6999 	 6 	 7 	 54 	 1004 	 -2,6 	  
16:40 30.01.2019 	 1,97 	 -6999 	 -6999 	 7 	 9 	 59 	 1003 	 -2,8 	  
16:30 30.01.2019 	 2,02 	 -6999 	 -6999 	 6 	 8 	 55 	 1003 	 -2,1 	  
16:20 30.01.2019 	 2,06 	 -6999 	 -6999 	 6 	 8 	 45 	 1003 	 -2,3 	  
16:10 30.01.2019 	 2,11 	 -6999 	 -6999 	 5 	 7 	 42 	 1004 	 -2,9 	  
16:00 30.01.2019 	 2,15 	 -6999 	 -6999 	 6 	 7 	 48 	 1004 	 -2,5 	  
15:50 30.01.2019 	 2,19 	 -6999 	 -6999 	 6 	 8 	 49 	 1004 	 -2,6 	  
15:40 30.01.2019 	 2,23 	 -6999 	 -6999 	 7 	 8 	 50 	 1004 	 -2,5 	  
15:30 30.01.2019 	 2,26 	 -6999 	 -6999 	 6 	 8 	 47 	 1004 	 -2,5 	  
15:20 30.01.2019 	 2,3 	 -6999 	 -6999 	 6 	 7 	 49 	 1004 	 -2,8 	  
15:10 30.01.2019 	 2,33 	 -6999 	 -6999 	 6 	 9 	 57 	 1004 	 -2,2 	  
15:00 30.01.2019 	 2,34 	 -6999 	 -6999 	 7 	 9 	 63 	 1004 	 -2,2 	  
14:50 30.01.2019 	 2,37 	 -6999 	 -6999 	 6 	 8 	 66 	 1004 	 -2 	  
14:40 30.01.2019 	 2,38 	 -6999 	 -6999 	 7 	 8 	 68 	 1004 	 -1,7 	  
14:30 30.01.2019 	 2,39 	 -6999 	 -6999 	 6 	 8 	 72 	 1004 	 -1,8 	  
14:20 30.01.2019 	 2,4 	 -6999 	 -6999 	 6 	 8 	 71 	 1004 	 -1,7 	  
14:10 30.01.2019 	 2,41 	 -6999 	 -6999 	 7 	 10 	 72 	 1004 	 -1,7 	  
14:00 30.01.2019 	 2,41 	 -6999 	 -6999 	 6 	 9 	 68 	 1004 	 -1,5 	  
13:50 30.01.2019 	 2,4 	 -6999 	 -6999 	 7 	 9 	 63 	 1004 	 -1,6 	  
13:40 30.01.2019 	 2,39 	 -6999 	 -6999 	 7 	 9 	 59 	 1004 	 -1,7 	  
13:30 30.01.2019 	 2,38 	 -6999 	 -6999 	 7 	 11 	 59 	 1004 	 -1,2 	  
13:20 30.01.2019 	 2,36 	 -6999 	 -6999 	 8 	 11 	 61 	 1004 	 -1,5 	  
13:10 30.01.2019 	 2,34 	 -6999 	 -6999 	 8 	 11 	 58 	 1004 	 -1,6 	  
13:00 30.01.2019 	 2,3 	 -6999 	 -6999 	 8 	 12 	 58 	 1004 	 -1,6 	  
12:50 30.01.2019 	 2,27 	 -6999 	 -6999 	 8 	 10 	 58 	 1004 	 -1,8 	  
12:40 30.01.2019 	 2,24 	 -6999 	 -6999 	 8 	 11 	 55 	 1004 	 -1,6 	  
12:30 30.01.2019 	 2,2 	 -6999 	 -6999 	 9 	 12 	 59 	 1004 	 -1,8 	  
12:20 30.01.2019 	 2,16 	 -6999 	 -6999 	 8 	 11 	 60 	 1004 	 -1,8 	  
12:10 30.01.2019 	 2,11 	 -6999 	 -6999 	 7 	 10 	 61 	 1004 	 -2 	  
12:00 30.01.2019 	 2,06 	 -6999 	 -6999 	 7 	 10 	 61 	 1004 	 -2,3 	  
11:50 30.01.2019 	 2,02 	 -6999 	 -6999 	 7 	 10 	 60 	 1004 	 -2,5 	  
11:40 30.01.2019 	 1,96 	 -6999 	 -6999 	 7 	 9 	 61 	 1004 	 -2,3 	  
11:30 30.01.2019 	 1,91 	 -6999 	 -6999 	 7 	 9 	 67 	 1004 	 -2 	  
