Time [yyyy/MM/dd HH:mm:ss],Patreksfjordur: water level (waterlevel) at Patreksfjordur_ FlowFM [m]
2020/02/26 08:35:00,1.3184
2020/02/26 08:40:00,1.3377
2020/02/26 08:45:00,1.355
2020/02/26 08:50:00,1.3704
2020/02/26 08:55:00,1.3837
2020/02/26 09:00:00,1.395
2020/02/26 09:05:00,1.4042
2020/02/26 09:10:00,1.4113
2020/02/26 09:15:00,1.4163
2020/02/26 09:20:00,1.4191
2020/02/26 09:25:00,1.4199
2020/02/26 09:30:00,1.4187
2020/02/26 09:35:00,1.4154
2020/02/26 09:40:00,1.41
2020/02/26 09:45:00,1.4025
2020/02/26 09:50:00,1.3929
2020/02/26 09:55:00,1.3812
2020/02/26 10:00:00,1.3671
2020/02/26 10:05:00,1.3509
2020/02/26 10:10:00,1.3325
2020/02/26 10:15:00,1.3119
2020/02/26 10:20:00,1.2892
2020/02/26 10:25:00,1.2644
2020/02/26 10:30:00,1.2377
2020/02/26 10:35:00,1.209
2020/02/26 10:40:00,1.1783
2020/02/26 10:45:00,1.1456
2020/02/26 10:50:00,1.1109
2020/02/26 10:55:00,1.0741
2020/02/26 11:00:00,1.0352
2020/02/26 11:05:00,0.9942
2020/02/26 11:10:00,0.95112
2020/02/26 11:15:00,0.90606
2020/02/26 11:20:00,0.85912
2020/02/26 11:25:00,0.81047
2020/02/26 11:30:00,0.76031
2020/02/26 11:35:00,0.70882
2020/02/26 11:40:00,0.65618
2020/02/26 11:45:00,0.60256
2020/02/26 11:50:00,0.54809
2020/02/26 11:55:00,0.4929
2020/02/26 12:00:00,0.43712
2020/02/26 12:05:00,0.38086
2020/02/26 12:10:00,0.32424
2020/02/26 12:15:00,0.26736
2020/02/26 12:20:00,0.21032
2020/02/26 12:25:00,0.15319
2020/02/26 12:30:00,0.096006
2020/02/26 12:35:00,0.038804
2020/02/26 12:40:00,-0.018378
2020/02/26 12:45:00,-0.075458
2020/02/26 12:50:00,-0.13233
2020/02/26 12:55:00,-0.18888
2020/02/26 13:00:00,-0.24502
2020/02/26 13:05:00,-0.30066
2020/02/26 13:10:00,-0.35569
2020/02/26 13:15:00,-0.41001
2020/02/26 13:20:00,-0.46349
2020/02/26 13:25:00,-0.51599
2020/02/26 13:30:00,-0.56735
2020/02/26 13:35:00,-0.61737
2020/02/26 13:40:00,-0.66588
2020/02/26 13:45:00,-0.71273
2020/02/26 13:50:00,-0.75783
2020/02/26 13:55:00,-0.80114
2020/02/26 14:00:00,-0.84264
2020/02/26 14:05:00,-0.88233
2020/02/26 14:10:00,-0.92024
2020/02/26 14:15:00,-0.95638
2020/02/26 14:20:00,-0.99079
2020/02/26 14:25:00,-1.0235
2020/02/26 14:30:00,-1.0545
2020/02/26 14:35:00,-1.0838
2020/02/26 14:40:00,-1.1114
2020/02/26 14:45:00,-1.1375
2020/02/26 14:50:00,-1.1619
2020/02/26 14:55:00,-1.1847
2020/02/26 15:00:00,-1.2058
2020/02/26 15:05:00,-1.2252
2020/02/26 15:10:00,-1.2428
2020/02/26 15:15:00,-1.2586
2020/02/26 15:20:00,-1.2724
2020/02/26 15:25:00,-1.2841
2020/02/26 15:30:00,-1.2937
2020/02/26 15:35:00,-1.3011
2020/02/26 15:40:00,-1.3063
2020/02/26 15:45:00,-1.3091
2020/02/26 15:50:00,-1.3096
2020/02/26 15:55:00,-1.3076
2020/02/26 16:00:00,-1.3034
2020/02/26 16:05:00,-1.2968
2020/02/26 16:10:00,-1.2879
2020/02/26 16:15:00,-1.2768
2020/02/26 16:20:00,-1.2636
2020/02/26 16:25:00,-1.2483
2020/02/26 16:30:00,-1.231
2020/02/26 16:35:00,-1.2119
2020/02/26 16:40:00,-1.1909
2020/02/26 16:45:00,-1.1682
2020/02/26 16:50:00,-1.1439
2020/02/26 16:55:00,-1.118
2020/02/26 17:00:00,-1.0905
2020/02/26 17:05:00,-1.0613
2020/02/26 17:10:00,-1.0305
2020/02/26 17:15:00,-0.99801
2020/02/26 17:20:00,-0.96368
2020/02/26 17:25:00,-0.92752
2020/02/26 17:30:00,-0.88952
2020/02/26 17:35:00,-0.84971
2020/02/26 17:40:00,-0.80815
2020/02/26 17:45:00,-0.76488
2020/02/26 17:50:00,-0.72
2020/02/26 17:55:00,-0.67365
2020/02/26 18:00:00,-0.62598
2020/02/26 18:05:00,-0.57719
2020/02/26 18:10:00,-0.52748
2020/02/26 18:15:00,-0.47704
2020/02/26 18:20:00,-0.42608
2020/02/26 18:25:00,-0.37478
2020/02/26 18:30:00,-0.32333
2020/02/26 18:35:00,-0.27185
2020/02/26 18:40:00,-0.22047
2020/02/26 18:45:00,-0.1693
2020/02/26 18:50:00,-0.11844
2020/02/26 18:55:00,-0.067953
2020/02/26 19:00:00,-0.017848
2020/02/26 19:05:00,0.031878
2020/02/26 19:10:00,0.081249
2020/02/26 19:15:00,0.13028
2020/02/26 19:20:00,0.17895
2020/02/26 19:25:00,0.22724
2020/02/26 19:30:00,0.27508
2020/02/26 19:35:00,0.32235
2020/02/26 19:40:00,0.3689
2020/02/26 19:45:00,0.41453
2020/02/26 19:50:00,0.45905
2020/02/26 19:55:00,0.50226
2020/02/26 20:00:00,0.54405
2020/02/26 20:05:00,0.58434
2020/02/26 20:10:00,0.62305
2020/02/26 20:15:00,0.66009
2020/02/26 20:20:00,0.69543
2020/02/26 20:25:00,0.72908
2020/02/26 20:30:00,0.76103
2020/02/26 20:35:00,0.79122
2020/02/26 20:40:00,0.81955
2020/02/26 20:45:00,0.84592
2020/02/26 20:50:00,0.87028
2020/02/26 20:55:00,0.8926
2020/02/26 21:00:00,0.91289
2020/02/26 21:05:00,0.93116
2020/02/26 21:10:00,0.94741
2020/02/26 21:15:00,0.9617
2020/02/26 21:20:00,0.97411
2020/02/26 21:25:00,0.98467
2020/02/26 21:30:00,0.99338
2020/02/26 21:35:00,1.0002
2020/02/26 21:40:00,1.0051
2020/02/26 21:45:00,1.0081
2020/02/26 21:50:00,1.0094
2020/02/26 21:55:00,1.0088
2020/02/26 22:00:00,1.0064
2020/02/26 22:05:00,1.0023
2020/02/26 22:10:00,0.99651
2020/02/26 22:15:00,0.98904
2020/02/26 22:20:00,0.97989
2020/02/26 22:25:00,0.96898
2020/02/26 22:30:00,0.95626
2020/02/26 22:35:00,0.94167
2020/02/26 22:40:00,0.92519
2020/02/26 22:45:00,0.90682
2020/02/26 22:50:00,0.88657
2020/02/26 22:55:00,0.86447
2020/02/26 23:00:00,0.84056
2020/02/26 23:05:00,0.81491
2020/02/26 23:10:00,0.78753
2020/02/26 23:15:00,0.75847
2020/02/26 23:20:00,0.72772
2020/02/26 23:25:00,0.6953
2020/02/26 23:30:00,0.66123
2020/02/26 23:35:00,0.6256
2020/02/26 23:40:00,0.58852
2020/02/26 23:45:00,0.55012
2020/02/26 23:50:00,0.51056
2020/02/26 23:55:00,0.47
2020/02/27 00:00:00,0.42857
2020/02/27 00:05:00,0.38636
2020/02/27 00:10:00,0.34347
2020/02/27 00:15:00,0.29994
2020/02/27 00:20:00,0.25582
2020/02/27 00:25:00,0.21117
2020/02/27 00:30:00,0.16604
2020/02/27 00:35:00,0.12054
2020/02/27 00:40:00,0.07478
2020/02/27 00:45:00,0.028885
2020/02/27 00:50:00,-0.017019
2020/02/27 00:55:00,-0.062823
2020/02/27 01:00:00,-0.10844
2020/02/27 01:05:00,-0.15378
2020/02/27 01:10:00,-0.19878
2020/02/27 01:15:00,-0.24338
2020/02/27 01:20:00,-0.28755
2020/02/27 01:25:00,-0.33125
2020/02/27 01:30:00,-0.37441
2020/02/27 01:35:00,-0.41691
2020/02/27 01:40:00,-0.45865
2020/02/27 01:45:00,-0.49951
2020/02/27 01:50:00,-0.53938
2020/02/27 01:55:00,-0.57812
2020/02/27 02:00:00,-0.61559
2020/02/27 02:05:00,-0.65168
2020/02/27 02:10:00,-0.68627
2020/02/27 02:15:00,-0.71928
2020/02/27 02:20:00,-0.75063
2020/02/27 02:25:00,-0.78024
2020/02/27 02:30:00,-0.80803
2020/02/27 02:35:00,-0.83395
2020/02/27 02:40:00,-0.85798
2020/02/27 02:45:00,-0.88011
2020/02/27 02:50:00,-0.90038
2020/02/27 02:55:00,-0.91882
2020/02/27 03:00:00,-0.93549
2020/02/27 03:05:00,-0.95047
2020/02/27 03:10:00,-0.96382
2020/02/27 03:15:00,-0.97559
2020/02/27 03:20:00,-0.98579
2020/02/27 03:25:00,-0.99441
2020/02/27 03:30:00,-1.0014
2020/02/27 03:35:00,-1.0067
2020/02/27 03:40:00,-1.0104
2020/02/27 03:45:00,-1.0122
2020/02/27 03:50:00,-1.0121
2020/02/27 03:55:00,-1.0102
2020/02/27 04:00:00,-1.0062
2020/02/27 04:05:00,-1.0003
2020/02/27 04:10:00,-0.99223
2020/02/27 04:15:00,-0.98204
2020/02/27 04:20:00,-0.96964
2020/02/27 04:25:00,-0.95504
2020/02/27 04:30:00,-0.93823
2020/02/27 04:35:00,-0.91928
2020/02/27 04:40:00,-0.89826
2020/02/27 04:45:00,-0.87528
2020/02/27 04:50:00,-0.85047
2020/02/27 04:55:00,-0.82396
2020/02/27 05:00:00,-0.79588
2020/02/27 05:05:00,-0.76633
2020/02/27 05:10:00,-0.73541
2020/02/27 05:15:00,-0.70319
2020/02/27 05:20:00,-0.66975
2020/02/27 05:25:00,-0.63512
2020/02/27 05:30:00,-0.59934
2020/02/27 05:35:00,-0.5624
2020/02/27 05:40:00,-0.5243
2020/02/27 05:45:00,-0.485
2020/02/27 05:50:00,-0.44448
2020/02/27 05:55:00,-0.40271
2020/02/27 06:00:00,-0.35969
2020/02/27 06:05:00,-0.31546
2020/02/27 06:10:00,-0.27009
2020/02/27 06:15:00,-0.2237
2020/02/27 06:20:00,-0.17643
2020/02/27 06:25:00,-0.12845
2020/02/27 06:30:00,-0.079924
2020/02/27 06:35:00,-0.031005
2020/02/27 06:40:00,0.018147
2020/02/27 06:45:00,0.06739
2020/02/27 06:50:00,0.1166
2020/02/27 06:55:00,0.16567
2020/02/27 07:00:00,0.21452
2020/02/27 07:05:00,0.26307
2020/02/27 07:10:00,0.31127
2020/02/27 07:15:00,0.35908
2020/02/27 07:20:00,0.40646
2020/02/27 07:25:00,0.45337
2020/02/27 07:30:00,0.49977
2020/02/27 07:35:00,0.54561
2020/02/27 07:40:00,0.59083
2020/02/27 07:45:00,0.63535
2020/02/27 07:50:00,0.67906
2020/02/27 07:55:00,0.72182
2020/02/27 08:00:00,0.76351
2020/02/27 08:05:00,0.80397
2020/02/27 08:10:00,0.84305
2020/02/27 08:15:00,0.88059
2020/02/27 08:20:00,0.91644
2020/02/27 08:25:00,0.95051
2020/02/27 08:30:00,0.98271
2020/02/27 08:35:00,1.013
2020/02/27 08:40:00,1.0413
2020/02/27 08:45:00,1.0676
2020/02/27 08:50:00,1.092
2020/02/27 08:55:00,1.1145
2020/02/27 09:00:00,1.1351
2020/02/27 09:05:00,1.1539
2020/02/27 09:10:00,1.1708
2020/02/27 09:15:00,1.1859
2020/02/27 09:20:00,1.1992
2020/02/27 09:25:00,1.2106
2020/02/27 09:30:00,1.2201
2020/02/27 09:35:00,1.2276
2020/02/27 09:40:00,1.2332
2020/02/27 09:45:00,1.2367
2020/02/27 09:50:00,1.2383
2020/02/27 09:55:00,1.238
2020/02/27 10:00:00,1.2357
2020/02/27 10:05:00,1.2316
2020/02/27 10:10:00,1.2257
2020/02/27 10:15:00,1.2179
2020/02/27 10:20:00,1.2083
2020/02/27 10:25:00,1.1967
2020/02/27 10:30:00,1.1832
2020/02/27 10:35:00,1.1677
2020/02/27 10:40:00,1.1503
2020/02/27 10:45:00,1.1308
2020/02/27 10:50:00,1.1094
2020/02/27 10:55:00,1.086
2020/02/27 11:00:00,1.0608
2020/02/27 11:05:00,1.0338
2020/02/27 11:10:00,1.0049
2020/02/27 11:15:00,0.9742
2020/02/27 11:20:00,0.9417
2020/02/27 11:25:00,0.90735
2020/02/27 11:30:00,0.87118
2020/02/27 11:35:00,0.83319
2020/02/27 11:40:00,0.79345
2020/02/27 11:45:00,0.75204
2020/02/27 11:50:00,0.70907
2020/02/27 11:55:00,0.66466
2020/02/27 12:00:00,0.61896
2020/02/27 12:05:00,0.5721
2020/02/27 12:10:00,0.5242
2020/02/27 12:15:00,0.47539
2020/02/27 12:20:00,0.42579
2020/02/27 12:25:00,0.37553
2020/02/27 12:30:00,0.32475
2020/02/27 12:35:00,0.27356
2020/02/27 12:40:00,0.22209
2020/02/27 12:45:00,0.17043
2020/02/27 12:50:00,0.11868
2020/02/27 12:55:00,0.066911
2020/02/27 13:00:00,0.015163
2020/02/27 13:05:00,-0.03652
2020/02/27 13:10:00,-0.0881
2020/02/27 13:15:00,-0.13955
2020/02/27 13:20:00,-0.19084
2020/02/27 13:25:00,-0.24192
2020/02/27 13:30:00,-0.29274
2020/02/27 13:35:00,-0.34324
2020/02/27 13:40:00,-0.39331
2020/02/27 13:45:00,-0.4428
2020/02/27 13:50:00,-0.49155
2020/02/27 13:55:00,-0.53937
2020/02/27 14:00:00,-0.58605
2020/02/27 14:05:00,-0.63139
2020/02/27 14:10:00,-0.67523
2020/02/27 14:15:00,-0.71745
2020/02/27 14:20:00,-0.75794
2020/02/27 14:25:00,-0.79664
2020/02/27 14:30:00,-0.83351
2020/02/27 14:35:00,-0.86856
2020/02/27 14:40:00,-0.90179
2020/02/27 14:45:00,-0.93324
2020/02/27 14:50:00,-0.96297
2020/02/27 14:55:00,-0.99104
2020/02/27 15:00:00,-1.0175
2020/02/27 15:05:00,-1.0424
2020/02/27 15:10:00,-1.0658
2020/02/27 15:15:00,-1.0878
2020/02/27 15:20:00,-1.1082
2020/02/27 15:25:00,-1.1272
2020/02/27 15:30:00,-1.1446
2020/02/27 15:35:00,-1.1604
2020/02/27 15:40:00,-1.1746
2020/02/27 15:45:00,-1.1871
2020/02/27 15:50:00,-1.1978
2020/02/27 15:55:00,-1.2067
2020/02/27 16:00:00,-1.2136
2020/02/27 16:05:00,-1.2185
2020/02/27 16:10:00,-1.2212
2020/02/27 16:15:00,-1.2217
2020/02/27 16:20:00,-1.2199
2020/02/27 16:25:00,-1.2158
2020/02/27 16:30:00,-1.2094
2020/02/27 16:35:00,-1.2008
2020/02/27 16:40:00,-1.19
2020/02/27 16:45:00,-1.1772
2020/02/27 16:50:00,-1.1624
2020/02/27 16:55:00,-1.1457
2020/02/27 17:00:00,-1.1273
2020/02/27 17:05:00,-1.1072
2020/02/27 17:10:00,-1.0855
2020/02/27 17:15:00,-1.0623
2020/02/27 17:20:00,-1.0377
2020/02/27 17:25:00,-1.0115
2020/02/27 17:30:00,-0.98381
2020/02/27 17:35:00,-0.95462
2020/02/27 17:40:00,-0.92388
2020/02/27 17:45:00,-0.89155
2020/02/27 17:50:00,-0.8576
2020/02/27 17:55:00,-0.82202
2020/02/27 18:00:00,-0.78483
2020/02/27 18:05:00,-0.74608
2020/02/27 18:10:00,-0.70584
2020/02/27 18:15:00,-0.66418
2020/02/27 18:20:00,-0.6212
2020/02/27 18:25:00,-0.57701
2020/02/27 18:30:00,-0.5317
2020/02/27 18:35:00,-0.48541
2020/02/27 18:40:00,-0.43832
2020/02/27 18:45:00,-0.39058
2020/02/27 18:50:00,-0.34239
2020/02/27 18:55:00,-0.29392
2020/02/27 19:00:00,-0.24535
2020/02/27 19:05:00,-0.19683
2020/02/27 19:10:00,-0.14845
2020/02/27 19:15:00,-0.10029
2020/02/27 19:20:00,-0.052403
2020/02/27 19:25:00,-0.0048248
2020/02/27 19:30:00,0.042407
2020/02/27 19:35:00,0.089272
2020/02/27 19:40:00,0.13575
2020/02/27 19:45:00,0.18182
2020/02/27 19:50:00,0.22745
2020/02/27 19:55:00,0.27259
2020/02/27 20:00:00,0.31717
2020/02/27 20:05:00,0.36111
2020/02/27 20:10:00,0.40433
2020/02/27 20:15:00,0.44674
2020/02/27 20:20:00,0.48818
2020/02/27 20:25:00,0.52851
2020/02/27 20:30:00,0.56756
2020/02/27 20:35:00,0.6052
2020/02/27 20:40:00,0.64133
2020/02/27 20:45:00,0.67586
2020/02/27 20:50:00,0.70872
2020/02/27 20:55:00,0.73988
2020/02/27 21:00:00,0.76931
2020/02/27 21:05:00,0.797
2020/02/27 21:10:00,0.82292
2020/02/27 21:15:00,0.84704
2020/02/27 21:20:00,0.86932
2020/02/27 21:25:00,0.88974
2020/02/27 21:30:00,0.9083
2020/02/27 21:35:00,0.925
2020/02/27 21:40:00,0.93985
2020/02/27 21:45:00,0.95284
2020/02/27 21:50:00,0.96396
2020/02/27 21:55:00,0.97321
2020/02/27 22:00:00,0.98062
2020/02/27 22:05:00,0.9862
2020/02/27 22:10:00,0.98998
2020/02/27 22:15:00,0.99198
2020/02/27 22:20:00,0.99221
2020/02/27 22:25:00,0.99075
2020/02/27 22:30:00,0.98765
2020/02/27 22:35:00,0.98298
2020/02/27 22:40:00,0.97676
2020/02/27 22:45:00,0.96903
2020/02/27 22:50:00,0.9598
2020/02/27 22:55:00,0.94908
2020/02/27 23:00:00,0.93681
2020/02/27 23:05:00,0.92291
2020/02/27 23:10:00,0.90734
2020/02/27 23:15:00,0.89007
2020/02/27 23:20:00,0.87108
